"";"longitude";"latitude";"unixtime";"file_name";"velocidades"
"2881";-79,88014145;-2,1866722;2017-10-28 17:12:09;"194";20,32
"1561";-79,8841303239045;-2,19090932552981;2017-10-28 17:12:09;"179";0
"1310";-79,882704362808;-2,19012234901579;2017-10-28 17:12:10;"172";0,9
"2016";-79,8851397726685;-2,18925093300641;2017-10-28 17:12:11;"183";1,36
"1749";-79,88338453;-2,18988069;2017-10-28 17:12:12;"181";6,09
"3116";-79,88284341;-2,18602284;2017-10-28 17:12:12;"198";34,44
"3524";-79,8830016656712;-2,18669954205629;2017-10-28 17:12:13;"201";44,13
"2329";-79,883992245324;-2,19094427606964;2017-10-28 17:12:14;"186";0
"2882";-79,88023476;-2,18696289;2017-10-28 17:12:14;"194";27,65
"1562";-79,8841303239045;-2,19090932552981;2017-10-28 17:12:14;"179";0
"1311";-79,8825758599432;-2,19015602165885;2017-10-28 17:12:15;"172";11,68
"2017";-79,8850625753403;-2,18935885000974;2017-10-28 17:12:16;"183";13,33
"2786";-79,8828472;-2,18544247;2017-10-28 17:12:17;"190";47,37
"2992";-79,88292992;-2,18635506;2017-10-28 17:12:17;"197";33,92
"3525";-79,8831473369057;-2,1871908168232;2017-10-28 17:12:18;"201";45,86
"2330";-79,8840183691689;-2,19094422062656;2017-10-28 17:12:19;"186";1,88
"2883";-79,88035307;-2,18723188;2017-10-28 17:12:19;"194";27,89
"1563";-79,8841303239045;-2,19090932552981;2017-10-28 17:12:19;"179";0
"1312";-79,8822447104788;-2,1902079928342;2017-10-28 17:12:20;"172";27,58
"2018";-79,8848624993116;-2,18949752859771;2017-10-28 17:12:21;"183";24,39
"2787";-79,8829473;-2,18581161;2017-10-28 17:12:22;"190";33,79
"3117";-79,88304965;-2,18686088;2017-10-28 17:12:22;"198";37,5
"3526";-79,8832567755419;-2,18765572651876;2017-10-28 17:12:23;"201";41,35
"2331";-79,8840223724696;-2,19094635991771;2017-10-28 17:12:24;"186";0,44
"1564";-79,8841303239045;-2,19090932552981;2017-10-28 17:12:24;"179";0
"1313";-79,8821932527594;-2,19021336703452;2017-10-28 17:12:25;"172";4,09
"2884";-79,88043439;-2,18754147;2017-10-28 17:12:25;"194";23,45
"2019";-79,8845335096121;-2,1895834011957;2017-10-28 17:12:26;"183";29,87
"2993";-79,88311781;-2,18711077;2017-10-28 17:12:26;"197";37,74
"1750";-79,88327814;-2,18990183;2017-10-28 17:12:27;"181";3,06
"3527";-79,8833774063473;-2,1881452778813;2017-10-28 17:12:28;"201";43,93
"2332";-79,8840524917242;-2,19096814542722;2017-10-28 17:12:29;"186";3,74
"1565";-79,8841303239045;-2,19090932552981;2017-10-28 17:12:29;"179";0
"2020";-79,8841477744281;-2,18967597931623;2017-10-28 17:12:32;"183";28,7
"2788";-79,88304996;-2,18635542;2017-10-28 17:12:32;"190";23,27
"2994";-79,88320403;-2,18767355;2017-10-28 17:12:32;"197";38,94
"2885";-79,88065558;-2,18789525;2017-10-28 17:12:33;"194";25,87
"3528";-79,8835015644071;-2,18865202111288;2017-10-28 17:12:33;"201";45,42
"2333";-79,8840922961903;-2,19098745363874;2017-10-28 17:12:34;"186";4,26
"1566";-79,8842008494855;-2,19109924821313;2017-10-28 17:12:34;"179";18,75
"1751";-79,88320673;-2,19001708;2017-10-28 17:12:35;"181";8,4
"3118";-79,88323785;-2,18804063;2017-10-28 17:12:35;"198";37,97
"2021";-79,8839778732508;-2,18970862682909;2017-10-28 17:12:37;"183";14,58
"2789";-79,88302158;-2,18646735;2017-10-28 17:12:37;"190";10,1
"2886";-79,88068774;-2,18826452;2017-10-28 17:12:38;"194";28,9
"3529";-79,8836362779795;-2,18915500579106;2017-10-28 17:12:38;"201";45,91
"2334";-79,8843337307657;-2,19115393091702;2017-10-28 17:12:39;"186";29,37
"1567";-79,8842301384786;-2,19141673589047;2017-10-28 17:12:39;"179";24,97
"3119";-79,8833169;-2,18837432;2017-10-28 17:12:40;"198";29,47
"2995";-79,88327263;-2,1884845;2017-10-28 17:12:41;"197";35,18
"2790";-79,88300099;-2,18638693;2017-10-28 17:12:42;"190";7,27
"1694";-79,8845388803514;-2,19156127540634;2017-10-28 17:12:42;"180";13,76
"1872";-79,8845388803514;-2,19156127540634;2017-10-28 17:12:42;"182";13,76
"2022";-79,8839774541557;-2,18970804009587;2017-10-28 17:12:43;"183";0,06
"2887";-79,88076452;-2,18847495;2017-10-28 17:12:43;"194";20,68
"3530";-79,8837398470797;-2,18959334444323;2017-10-28 17:12:43;"201";39,02
